"","Age","Gender","Country","state","family_history","self_employed","remote_work","tech_company","care_options","wellness_program","seek_help","anonymity","leave","treatment","benefits","supervisor","mental_health_interview","mental_health_consequence","phys_health_interview","mental_vs_physical","obs_consequence"
"1",46,"Male","United States","MD","Yes","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","Yes","Yes","No","No","Yes","Yes","Yes"
"2",36,"Male","France",NA,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Maybe","No","Maybe","Don't know","No"
"3",29,"Male","United States","NY","Yes","No","No","Yes","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","No","No","No"
"4",31,"Male","United States","NC","No","Yes","Yes","Yes","No","No","No","Yes","Somewhat difficult","No","No","Some of them","No","No","Maybe","Yes","No"
"5",46,"Male","United States","MA","No","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","Yes","No","Maybe","Maybe","No","No"
"6",41,"Male","United States","IA","No","No","No","No","No","No","Don't know","Don't know","Don't know","Yes","Don't know","No","No","Maybe","Yes","Don't know","No"
"7",33,"Male","United States","CA","Yes","No","No","Yes","Not sure","Don't know","Yes","Yes","Don't know","Yes","Yes","Yes","No","No","Yes","Don't know","No"
"8",35,"Male","United States","TN","Yes","No","No","No","Yes","No","Don't know","No","Very easy","Yes","Yes","Yes","No","Yes","Yes","No","No"
"9",33,"Male","United States","TN","No","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","No","Don't know","No"
"10",35,"Female","United States","CA","Yes","No","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"11",34,"Male","United States","OH","No","No","Yes","Yes","Not sure","No","Don't know","Don't know","Somewhat difficult","Yes","Don't know","No","No","No","No","No","No"
"12",37,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Very difficult","No","No","No","No","Yes","Maybe","No","No"
"13",32,"Male","United Kingdom",NA,"No","No","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Some of them","No","Yes","Maybe","No","No"
"14",31,"Male","United States","PA","Yes","Yes","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","No","No","No","No","Yes","No","No","Yes"
"15",30,"Male","United Kingdom",NA,"Yes","No","Yes","Yes","No","No","No","Yes","Somewhat easy","Yes","Don't know","Yes","No","Maybe","Yes","Don't know","No"
"16",42,"Male","United States","WA","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Yes","Some of them","Maybe","Maybe","Yes","Don't know","No"
"17",40,"Female","United States","WI","No","No","No","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","No","No","Maybe","Maybe","Yes","No"
"18",27,"Male","United States","NY","No","No","No","Yes","Yes","No","No","Don't know","Very easy","Yes","No","Yes","Maybe","No","Maybe","Don't know","No"
"19",29,"Male","Canada",NA,"No","No","No","Yes","No","No","No","Don't know","Very easy","No","No","No","No","Yes","No","Don't know","No"
"20",38,"Male","Portugal",NA,"No","No","No","Yes","Yes","No","No","Don't know","Somewhat easy","No","No","Some of them","No","Maybe","Maybe","No","No"
"21",50,"Male","United States","IN","No","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","No","Yes","Yes","No","No","Maybe","Don't know","No"
"22",35,"Male","United States","TX","No","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"23",24,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","Yes","No","No","No","Maybe","Yes","No","Yes"
"24",35,"Male","United States","MI","No","No","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat difficult","No","Yes","No","No","Yes","Maybe","Don't know","No"
"25",27,"Male","Canada",NA,"Yes","No","No","Yes","Yes","No","No","Yes","Very difficult","Yes","No","No","No","Maybe","No","Yes","No"
"26",18,"Male","Netherlands",NA,"No","No","No","Yes","Not sure","No","No","Don't know","Somewhat difficult","No","No","Some of them","No","Yes","No","No","No"
"27",30,"Male","United States","IN","No","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","No","No","No","Maybe","Don't know","No"
"28",38,"Female","United States","TX","Yes","No","No","Yes","Yes","No","Yes","Yes","Somewhat easy","Yes","Yes","Yes","No","No","No","Yes","No"
"29",28,"Male","United Kingdom",NA,"No","No","No","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"30",34,"Male","United States","TN","No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Maybe","No","Yes","Don't know","No"
"31",26,"Male","Canada",NA,"No","Yes","No","Yes","Yes","Yes","No","Don't know","Don't know","No","No","Yes","No","No","No","Yes","No"
"32",30,"Male","United States","IL","Yes","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Yes","Yes","No","Maybe","No","Don't know","No"
"33",22,"Male","United States","TX","Yes","No","No","Yes","Yes","No","No","Yes","Very difficult","Yes","No","No","No","Maybe","Maybe","Don't know","No"
"34",33,"Male","United States","UT","No","No","Yes","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","Don't know","No"
"35",31,"Male","United States",NA,"No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","No","Don't know","Some of them","Maybe","Maybe","Maybe","Don't know","No"
"36",32,"Male","United States","TN","No","No","Yes","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","No","Maybe","No","Don't know","No"
"37",28,"Male","Switzerland",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No"
"38",27,"Male","United States","NY","Yes","No","No","Yes","Yes","No","No","Yes","Don't know","Yes","Yes","No","No","Maybe","No","Don't know","No"
"39",32,"Male","United States","TN","Yes","No","Yes","Yes","No","No","No","Don't know","Somewhat easy","No","Don't know","Yes","No","No","No","Yes","No"
"40",24,"Male","United States","NY","Yes","No","Yes","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","Yes","No","Yes","No","No"
"41",26,"Male","United States","TN","No","No","No","No","No","No","No","Yes","Somewhat easy","No","No","Yes","Maybe","No","Yes","Don't know","No"
"42",33,"Male","Canada",NA,"Yes","No","Yes","Yes","No","No","No","No","Somewhat difficult","Yes","Don't know","No","No","Yes","Maybe","Don't know","No"
